area_code,city,state_or_province,country,latitude,longitude
205,Moody,ALABAMA,US,33.60369,-86.49333
205,Adamsville,ALABAMA,US,33.59215,-86.99833
205,Adger,ALABAMA,US,33.43159,-87.19961
205,Alabaster,ALABAMA,US,33.21751,-86.79307
256,Alexander City,ALABAMA,US,32.91433,-85.93816
205,Allgood,ALABAMA,US,33.90166,-86.51785
256,Alpine,ALABAMA,US,33.36097,-86.25909
256,Arab,ALABAMA,US,34.32545,-86.5033
256,Baileyton,ALABAMA,US,34.29828,-86.63496
205,Bessemer,ALABAMA,US,33.40502,-86.95436
205,Bessemer,ALABAMA,US,33.33107,-86.95959
205,Bessemer,ALABAMA,US,33.46674,-87.08891
205,Blountsville,ALABAMA,US,34.10256,-86.5455
256,Bremen,ALABAMA,US,33.94517,-87.02904
205,Brent,ALABAMA,US,32.9016,-87.26948
205,Brierfield,ALABAMA,US,33.04423,-86.97149
205,Brookside,ALABAMA,US,33.64095,-86.91601
205,Calera,ALABAMA,US,33.10487,-86.72958
205,Centreville,ALABAMA,US,32.93297,-87.12542
205,Chelsea,ALABAMA,US,33.30926,-86.66028
256,Childersburg,ALABAMA,US,33.26859,-86.36324
205,Clanton,ALABAMA,US,32.81127,-86.67249
205,Clanton,ALABAMA,US,32.923,-86.54127
205,Cleveland,ALABAMA,US,33.95674,-86.59904
205,Columbiana,ALABAMA,US,33.20457,-86.61523
205,Cook Springs,ALABAMA,US,33.59228,-86.40771
256,Crane Hill,ALABAMA,US,34.05495,-87.06527
205,Cropwell,ALABAMA,US,33.50417,-86.32693
256,Cullman,ALABAMA,US,34.1542,-86.75932
256,Cullman,ALABAMA,US,34.13788,-86.95876
256,Cullman,ALABAMA,US,34.23082,-86.73265
205,Docena,ALABAMA,US,33.55768,-86.92822
205,Dolomite,ALABAMA,US,33.47529,-86.9469
205,Dora,ALABAMA,US,33.72862,-87.02775
205,Empire,ALABAMA,US,33.8221,-87.00765
205,Fairfield,ALABAMA,US,33.47474,-86.91964
205,Fultondale,ALABAMA,US,33.60933,-86.83174
256,Garden City,ALABAMA,US,34.01394,-86.74443
205,Gardendale,ALABAMA,US,33.70376,-86.84286
256,Goodwater,ALABAMA,US,33.08985,-86.06057
205,Graysville,ALABAMA,US,33.65377,-86.98051
205,Green Pond,ALABAMA,US,33.22235,-87.12415
256,Hanceville,ALABAMA,US,34.01984,-86.83108
205,Harpersville,ALABAMA,US,33.32279,-86.44116
205,Hayden,ALABAMA,US,33.94118,-86.75261
205,Helena,ALABAMA,US,33.25508,-86.91894
256,Hollins,ALABAMA,US,33.1563,-86.15456
256,Holly Pond,ALABAMA,US,34.19718,-86.5931
205,Jemison,ALABAMA,US,32.97975,-86.73584
256,Joppa,ALABAMA,US,34.30556,-86.58252
256,Kellyton,ALABAMA,US,32.9426,-86.07457
205,Kimberly,ALABAMA,US,33.78344,-86.78963
205,Leeds,ALABAMA,US,33.52057,-86.56127
205,Lincoln,ALABAMA,US,33.62141,-86.10849
205,Locust Fork,ALABAMA,US,33.89871,-86.62526
256,Logan,ALABAMA,US,34.12779,-87.04626
205,Margaret,ALABAMA,US,33.69374,-86.47248
205,Montevallo,ALABAMA,US,33.12133,-86.89605
205,Morris,ALABAMA,US,33.73167,-86.76819
